station_code,Vs30
SZO013,136.0
SZO014,380.0
SZO015,470.0
SZO016,221.6667
SZO017,297.3333
SZO018,370.6667
SZO019,690.0
SZO020,948.3333
SZO021,583.3333
SZO022,318.3333
SZO023,250.0
SZO024,408.0
SZO025,168.0
SZO026,523.0
TCG001,496.0
TCG002,498.0
TCG003,360.5
TCG004,462.0
TCG005,264.5
TCG006,501.1667
TCG007,546.5
TCG008,337.0
TCG009,301.5
TCG010,439.5
TCG011,653.6667
TCG012,389.3333
TCG013,364.0
TCG014,402.5
TCG015,383.80800000000005
TCG016,600.776
TKS001,142.0
TKS002,181.6667
TKS003,528.0
TKS004,300.3333
TKS005,745.6667
TKS006,240.0
TKS007,383.3333
TKS008,442.6667
TKS009,496.0
TKS010,398.0
TKS011,759.3333
TKS012,455.0
TKY001,535.0
TKY002,519.6667
TKY003,325.6667
TKY004,343.3333
TKY005,372.714
TKY006,283.8333
TKY007,305.3333
TKY008,475.1667
TKY009,305.0
TKY010,300.3333
TKY011,393.6667
TKY012,502.6667
TKY029,490.3333
TTR001,284.0
TTR002,314.9667
TTR003,468.0
TTR004,347.6667
TTR005,110.0
TTR006,336.6667
TTR007,474.0
TTR008,148.6667
TTR009,499.0
TYM001,526.0
TYM002,153.0
TYM003,553.3333
TYM004,388.0
TYM005,130.3333
TYM006,283.3333
TYM007,284.3333
TYM008,473.3333
TYM009,305.3333
TYM010,372.0
TYM011,437.3333
TYM012,418.6667
WKY001,212.6667
WKY002,453.0
WKY003,153.3333
WKY004,923.6667
WKY005,493.3333
WKY006,202.6667
WKY007,431.3333
WKY008,201.6667
WKY009,223.6667
WKY010,606.0
WKY011,716.6667
WKY012,389.3333
WKY013,983.6667
WKY014,579.6667
YMG001,160.6667
YMG002,160.0
YMG003,286.0
YMG004,395.0
YMG005,612.0
YMG006,508.6667
YMG007,376.6667
YMG008,381.6667
YMG009,310.6667
YMG010,445.5
YMG011,308.0
YMG012,190.0
YMG013,213.3333
